ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
logistic_regression,0.9722222222222222,0.9990921968977523,0.972370396712502,0.9722222222222222,0.972220642985258,0.9691510982088459
decision_tree,0.8222222222222222,0.9012388752172034,0.8234046337016363,0.8222222222222222,0.8213536368390137,0.8027586326565891
knn,0.9638888888888889,0.9950705918778103,0.9647515793979607,0.9638888888888889,0.9636113031127418,0.9600315690331477
naive_bayes,0.8111111111111111,0.9707230682904776,0.8479871939298477,0.8111111111111111,0.8150828576150382,0.7939550794398258
random_forest,0.9694444444444444,0.999254669035772,0.9701173387754269,0.9694444444444444,0.9691636264804803,0.9661881873588722
